# niche-harvest M1 inheritance candidates — sourced from booker/data/fb_conditioner.sqlite (2026-04-24)
# Commissioned by Narvest 2026-04-24T20:38Z for niche-harvest M1 starting inventory.
# Ranking formula: (events_synced × 3) + events_produced − days_since_last_event / 30 − (consecutive_empty_scrapes × 2)
#
# Recommendation tiers:
#   NOT_A_FB_GROUP — aggregator-source markers (source-tm, source-nyt, v21_batch_import). Skip; not actually FB groups.
#   YES — events_synced >= 5 OR (events_produced >= 8 AND last_event within 90d). Inherit into M1.
#   MAYBE — events_synced >= 1 OR events_produced >= 3. Manual review before inherit.
#   NO — everything else (scraped-zero, never-scraped, flagged not_fb_group). Leave in Booker SQLite for archival; don't inherit.
#
# Counts: NOT_A_FB_GROUP=3 YES=11 MAYBE=83 NO=282
#
# Booker ranking thresholds are advisory. Tune on niche-harvest side after manual scan of YES + MAYBE tiers.
#
rec,score,fb_group_id,name,url,events_synced,events_produced,future_events,last_event_date,days_since_last_event,last_scraped_at,consecutive_empty_scrapes,activity_level,scrape_priority,reason
NO,1.00,88504309052,Queer Tango San Francisco Bay Area,https://www.facebook.com/groups/88504309052/,0,1,1,2026-09-11T19:00:00.000Z,0,2026-04-16 23:46:34,0,unknown,normal,"low productivity, low recency"
NO,1.00,200116800098011,Tango Argentino Club in Michigan,https://www.facebook.com/groups/200116800098011/,0,1,1,2027-07-11T12:00:00.000Z,0,2026-04-17 00:04:02,0,unknown,normal,"low productivity, low recency"
NO,1.00,sanantoniotango,San Antonio Tango (Tangueros),https://www.facebook.com/groups/sanantoniotango/,0,1,1,2026-09-05T00:00:00.000Z,0,2026-04-16 21:46:38,0,medium,normal,"low productivity, low recency"
NO,1.00,162318243891285,Cleveland Argentine Tango Community,https://www.facebook.com/groups/162318243891285/,0,1,1,2026-05-06T23:00:00.000Z,0,2026-04-16 22:33:16,0,active,normal,"low productivity, low recency"
NO,1.00,1198316623531204,Where do I dance Tango tonight in Ann Arbor?,https://www.facebook.com/groups/1198316623531204/,0,1,1,2026-04-26T18:00:00.000Z,0,2026-04-16 22:43:32,0,active,normal,"low productivity, low recency"
NO,1.00,148739595138437,Embrace Tango Western Mass (formerly Northampton Tango),https://www.facebook.com/groups/148739595138437/,0,1,1,2026-06-14T13:00:00.000Z,0,2026-04-16 22:47:28,0,moderate,normal,"low productivity, low recency"
NO,1.00,TangoLou,Louisville Argentine Tango Society,https://www.facebook.com/groups/TangoLou/,0,1,1,2026-05-02T23:00:00.000Z,0,2026-04-16 22:49:51,0,active,normal,"low productivity, low recency"
NO,1.00,115408145174568,Tango Birmingham,https://www.facebook.com/groups/115408145174568/,0,1,1,2026-05-09T22:00:00.000Z,0,2026-04-16 22:50:43,0,active,normal,"low productivity, low recency"
NO,1.00,455298564534844,Milongas in Stockholm,https://www.facebook.com/groups/455298564534844/,0,1,1,2026-05-08T16:00:00.000Z,0,2026-04-17 00:43:34,0,unknown,normal,"low productivity, low recency"
NO,1.00,37589618639,Copenhagen Tango Intermezzo,https://www.facebook.com/groups/37589618639/,0,1,1,2026-05-14T19:00:00.000Z,0,2026-04-17 00:45:19,0,unknown,normal,"low productivity, low recency"
NO,1.00,525722897638299,TANGO in Lisbon- Portugal,https://www.facebook.com/groups/525722897638299/,0,1,1,2026-04-30T10:00:00.000Z,0,2026-04-17 00:49:41,0,unknown,normal,"low productivity, low recency"
NO,1.00,593120727462887,Thailand Tangoargentino,https://www.facebook.com/groups/593120727462887/,0,1,1,2026-11-06T18:00:00.000Z,0,2026-04-17 01:32:10,0,unknown,normal,"low productivity, low recency"
NO,1.00,TangoVanIsle,Tango Vancouver Island,https://www.facebook.com/groups/TangoVanIsle/,0,1,1,2026-05-03T20:00:00.000Z,0,2026-04-17 01:41:19,0,unknown,normal,"low productivity, low recency"
NO,1.00,tangoindubai,Tango Dubai,https://www.facebook.com/groups/tangoindubai/,0,1,1,2026-04-25T14:00:00.000Z,0,2026-04-17 01:49:50,0,unknown,normal,"low productivity, low recency"
NO,1.00,tangojhb,Tango in Johannesburg,https://www.facebook.com/groups/tangojhb/,0,1,1,2026-05-08T16:00:00.000Z,0,2026-04-17 01:51:15,0,unknown,normal,"low productivity, low recency"
NO,1.00,tesoromiotango,TESOROMÍO TANGO MARATHON KYIV,https://www.facebook.com/groups/tesoromiotango/,0,1,1,2026-05-15T14:00:00.000Z,0,2026-04-17 01:56:02,0,unknown,normal,"low productivity, low recency"
NO,1.00,601878750175203,Tango Bucharest,https://www.facebook.com/groups/601878750175203/,0,1,1,2026-05-22T16:00:00.000Z,0,2026-04-17 01:57:53,0,unknown,normal,"low productivity, low recency"
NO,1.00,263815425189232,milonga Marseille,https://www.facebook.com/groups/263815425189232/,0,1,1,2026-05-23T18:00:00.000Z,0,2026-04-17 02:06:10,0,unknown,normal,"low productivity, low recency"
NO,1.00,tangoencordoba,TANGO EN CORDOBA,https://www.facebook.com/groups/tangoencordoba/,0,1,1,2026-09-11T14:00:00.000Z,0,2026-04-17 02:28:57,0,unknown,normal,"low productivity, low recency"
NO,1.00,530808790312906,Vietnam Tango Friends,https://www.facebook.com/groups/530808790312906/,0,1,1,2026-12-03T01:00:00.000Z,0,2026-04-17 02:33:09,0,unknown,normal,"low productivity, low recency"
NO,1.00,1434007586818773,Saigon Tango Community,https://www.facebook.com/groups/1434007586818773/,0,1,1,2026-08-27T17:00:00.000Z,0,2026-04-17 02:34:22,0,unknown,normal,"low productivity, low recency"
NO,1.00,959759624114376,The Tango Club (Gold Coast),https://www.facebook.com/groups/959759624114376/,0,1,1,2026-04-24T08:00:00.000Z,0,2026-04-17 02:36:27,0,unknown,normal,"low productivity, low recency"
NO,1.00,tangomissoula,Missoula Tango Community,https://www.facebook.com/groups/tangomissoula/,0,1,1,2026-04-25T18:30:00.000Z,0,2026-04-17 02:43:59,0,unknown,normal,"low productivity, low recency"
NO,0.97,tangoinnorthlondon,Tango in North London,https://www.facebook.com/groups/tangoinnorthlondon/,0,1,0,2026-04-23T20:00:00.000Z,1,2026-04-16 23:35:31,0,unknown,normal,"low productivity, low recency"
NO,0.83,486701171714398,Tango In Munich - Community,https://www.facebook.com/groups/486701171714398/,0,1,0,2026-04-19T16:00:00.000Z,5,2026-04-17 00:31:43,0,unknown,high,"low productivity, low recency"
NO,0.83,frankfurttangosociety,Frankfurt Tango Society e.V.,https://www.facebook.com/groups/frankfurttangosociety/,0,1,0,2026-04-19T13:00:00.000Z,5,2026-04-17 02:09:36,0,unknown,high,"low productivity, low recency"
NO,0.83,tangosanfrancisco,Tango San Francisco,https://www.facebook.com/groups/tangosanfrancisco/,0,1,0,2026-04-19T21:00:00.000Z,5,2026-04-16 23:44:59,0,unknown,normal,"low productivity, low recency"
NO,0.83,ProvidenceTango,Providence Tango,https://www.facebook.com/groups/ProvidenceTango/,0,1,0,2026-04-19T19:00:00.000Z,5,2026-04-16 22:46:03,0,active,normal,"low productivity, low recency"
NO,0.83,PerthTangoClub,Perth Tango Club,https://www.facebook.com/groups/PerthTangoClub/,0,1,0,2026-04-19T06:30:00.000Z,5,2026-04-17 02:37:25,0,unknown,normal,"low productivity, low recency"
NO,0.83,maltatango,Malta Argentine Tango Association,https://www.facebook.com/groups/maltatango/,0,1,0,2026-04-19T18:00:00.000Z,5,2026-04-17 02:46:28,0,unknown,normal,"low productivity, low recency"
NO,0.80,142536825892881,TANGO IN GERMANY,https://www.facebook.com/groups/142536825892881/,0,1,0,2026-04-18T18:00:00.000Z,6,2026-04-17 02:52:05,0,unknown,high,"low productivity, low recency"
NO,0.80,lincolnargentinetango,Argentine Tango of Nebraska,https://www.facebook.com/groups/lincolnargentinetango/,0,1,0,2026-04-18T00:00:00.000Z,6,2026-04-16 22:48:18,0,active,normal,"low productivity, low recency"
NO,0.80,clasesdetangorosario,CLASES DE TANGO ROSARIO,https://www.facebook.com/groups/clasesdetangorosario/,0,1,0,2026-04-17T23:30:00.000Z,6,2026-04-17 02:31:29,0,unknown,normal,"low productivity, low recency"
NO,0.77,tangoargentinofestivals,"Tango Festivals, Marathons, Meetings, Days",https://www.facebook.com/groups/tangoargentinofestivals/,0,1,0,2026-04-17T18:00:00.000Z,7,2026-04-16 23:31:05,0,unknown,normal,"low productivity, low recency"
NO,0.77,1477192729202416,TANGO EVENTS & INFO FOR THE SAN FRANCISCO BAY,https://www.facebook.com/groups/1477192729202416/,0,1,0,2026-04-17T02:00:00.000Z,7,2026-04-16 23:43:59,0,unknown,normal,"low productivity, low recency"
NO,0.77,822410074481007,"Where do you dance Tango tonight, in Bucharest?",https://www.facebook.com/groups/822410074481007/,0,1,0,2026-04-17T17:00:00.000Z,7,2026-04-17 01:58:44,0,unknown,normal,"low productivity, low recency"
NO,0.00,tangomilongasunitedstates,Tango Milongas United States,https://www.facebook.com/groups/tangomilongasunitedstates/,0,2,2,2026-05-17T21:00:00.000Z,0,2026-04-16 21:38:58,1,low,normal,"low productivity, low recency"
NO,-0.17,charlottetango,Charlotte Tango,https://www.facebook.com/groups/charlottetango/,0,2,0,2026-04-19T00:00:00.000Z,5,2026-04-16 21:54:32,1,high,high,"low productivity, low recency"
NO,-0.53,386587434854525,MILONGA TAIWAN,https://www.facebook.com/groups/386587434854525/,0,2,0,2026-04-08T11:00:00.000Z,16,2026-04-16 23:02:59,1,medium,high,"low productivity, low recency"
NO,-0.63,8812028532,New York Tango,https://www.facebook.com/groups/8812028532/,0,2,0,2026-04-05T00:00:00.000Z,19,2026-04-16 22:14:00,1,low,high,"low productivity, low recency"
NO,-1.00,389259707845555,Savannah Argentine Tango,https://www.facebook.com/groups/389259707845555/,0,1,1,2026-05-22T23:00:00.000Z,0,2026-04-16 22:37:38,1,moderate,high,"low productivity, low recency"
NO,-1.20,220751691420839,Queer Tango PDX,https://www.facebook.com/groups/220751691420839/,0,1,0,2026-04-18T01:30:00.000Z,6,2026-04-16 22:20:10,1,moderate,high,"low productivity, low recency"
NO,-1.40,Allnightmilonga,NYC All Night Milonga,https://www.facebook.com/groups/Allnightmilonga/,0,1,0,2026-04-12T01:00:00.000Z,12,2026-04-16 21:42:24,1,high,high,"low productivity, low recency"
NO,-1.40,berlin.tango,Berlin Tango Social,https://www.facebook.com/groups/berlin.tango,0,1,0,2026-04-12T00:30:00.000Z,12,2026-04-16 23:26:33,1,unknown,normal,"low productivity, low recency"
NO,-32.30,curita.trondheim,CUrITa Norway (Argentinsk Tango),https://www.facebook.com/groups/curita.trondheim/,0,1,0,,,2026-04-17 01:01:30,0,unknown,normal,"low productivity, low recency"
NO,-33.30,allseattletangoannouncements,All Seattle Tango: Local Events,https://www.facebook.com/groups/allseattletangoannouncements/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,1394067850716751,Milonga Buenos Aires ATLANTA,https://www.facebook.com/groups/1394067850716751/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,785402654887760,Miami Tango Club Milonga,https://www.facebook.com/groups/785402654887760/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,DALLASTANGOTexasArgentineTangoMilongasAndClasses,"Dallas Tango, Argentine Tango in Dallas Texas",https://www.facebook.com/groups/DALLASTANGOTexasArgentineTangoMilongasAndClasses/,0,0,0,,,,0,unknown,high,never scraped
NO,-33.30,122428374626593,Eastern Market Tango Club,https://www.facebook.com/groups/122428374626593/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,285617888603314,Milonga Maleva D.C.,https://www.facebook.com/groups/285617888603314,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,326443066052,Tango Classes & Milongas in London,https://www.facebook.com/groups/326443066052/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,243498226063157,Sans Souci Milonga London,https://www.facebook.com/groups/243498226063157/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,273014339380053,TANGO TERRA @ COVENT GARDEN,https://www.facebook.com/groups/273014339380053/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,427474711724772,MACADAM TANGO PARIS,https://www.facebook.com/groups/427474711724772/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,166301693740616,Tango Argentino - France,https://www.facebook.com/groups/166301693740616/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,tangomilongasbuenosaires,tango milongas Buenos Aires,https://www.facebook.com/groups/tangomilongasbuenosaires/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,GRUPODETANGO,TANGO y MILONGA - ZONA SUR,https://www.facebook.com/groups/GRUPODETANGO/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,1510097965906426,Tango events in Japan,https://www.facebook.com/groups/1510097965906426/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,107260253013056,Nuevo Tango Practica Tokyo,https://www.facebook.com/groups/107260253013056/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,TheTorontoTangoClub,Toronto Tango Club,https://www.facebook.com/groups/TheTorontoTangoClub/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,753056754810832,MALEVA Milonga in Toronto,https://www.facebook.com/groups/753056754810832/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,465986205126362,Milonga El Camino,https://www.facebook.com/groups/465986205126362/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,tangoinspain,tango milongas Spain,https://www.facebook.com/groups/tangoinspain/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,1782396342070365,MILONGAS EN ESPAÑA,https://www.facebook.com/groups/1782396342070365/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,110350309081096,LAS MILONGAS de MÉXICO,https://www.facebook.com/groups/110350309081096/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,2248359305530087,Mexico City tango community,https://www.facebook.com/groups/2248359305530087/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,189820067795103,MILONGA PARQUE MEXICO CONDESA,https://www.facebook.com/groups/189820067795103/,0,0,0,,,2026-04-17 01:26:12,0,unknown,high,scraped but 0 events produced ever
NO,-33.30,1428420777264397,Tango CDMX,https://www.facebook.com/groups/1428420777264397/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,evening.tea.milonga,Evening Tea Milonga,https://www.facebook.com/groups/evening.tea.milonga/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,242833006140226,Busan Tango Marathon,https://www.facebook.com/groups/242833006140226/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,2282127425441458,香港探戈活動Tango in Hong Kong,https://www.facebook.com/groups/2282127425441458/,0,0,0,,,2026-04-17 01:26:56,0,unknown,high,scraped but 0 events produced ever
NO,-33.30,russiantangoclub,Russian Tango Club,https://www.facebook.com/groups/russiantangoclub/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,istanbul.milongateam,istanbul milonga team,https://www.facebook.com/groups/istanbul.milongateam/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,1643259365920170,Istanbul Tango Events,https://www.facebook.com/groups/1643259365920170/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,316341615453372,Hoy Milonga Turkey,https://www.facebook.com/groups/316341615453372/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,sultanstango,Sultans of İstanbul Tango Marathon & Festival,https://www.facebook.com/groups/sultanstango/,0,0,0,,,2026-04-17 01:15:14,0,unknown,high,scraped but 0 events produced ever
NO,-33.30,231658050293337,TANGO IN TURKEY,https://www.facebook.com/groups/231658050293337/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,istanbultango,istanbul TANGO,https://www.facebook.com/groups/istanbultango/,0,0,0,,,2026-04-17 01:15:59,0,unknown,high,scraped but 0 events produced ever
NO,-33.30,isratango,Isra Tango,https://www.facebook.com/groups/isratango/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,2588519941488416,Milonga Tango Libre Warsaw,https://www.facebook.com/groups/2588519941488416/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,tangomilongasgermany,tango milongas Germany,https://www.facebook.com/groups/tangomilongasgermany/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,tangomilongasathens,tango milongas Athens,https://www.facebook.com/groups/tangomilongasathens/,0,0,0,,,2026-04-17 01:06:15,0,unknown,high,scraped but 0 events produced ever
NO,-33.30,qtbrazil,Queer Tango Brazil,https://www.facebook.com/groups/qtbrazil/,0,0,0,,,,0,medium,high,never scraped
NO,-33.30,tangoinfofestivals,tango.info/festivals,https://www.facebook.com/groups/tangoinfofestivals/,0,0,0,,,,0,low,normal,never scraped
NO,-33.30,tangoinla,Tango in LA,https://www.facebook.com/groups/tangoinla/,0,0,0,,,,0,unknown,normal,never scraped
NO,-33.30,365572112012363,Munich Tango Weekend,https://www.facebook.com/groups/365572112012363/,0,0,0,,,,0,unknown,normal,never scraped
NO,-33.30,118387944555,Tango Budapest,https://www.facebook.com/groups/118387944555/,0,0,0,,,,0,unknown,normal,never scraped
NO,-33.30,954201021312694,Tango Argentino In Helsinki,https://www.facebook.com/groups/954201021312694/,0,0,0,,,2026-04-17 01:02:36,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,1069897033717773,Argentine Tango Helsinki,https://www.facebook.com/groups/1069897033717773/,0,0,0,,,2026-04-17 01:03:50,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,5555248820,Finland Tango Community,https://www.facebook.com/groups/5555248820/,0,0,0,,,2026-04-17 01:04:38,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,athenstangueros,Athens' Tangueros,https://www.facebook.com/groups/athenstangueros,0,0,0,,,2026-04-17 01:07:27,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,371771409502112,Milongas in Athens,https://www.facebook.com/groups/371771409502112/,0,0,0,,,2026-04-17 01:08:23,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangoinathens,TANGO ATHENS,https://www.facebook.com/groups/tangoinathens/,0,0,0,,,2026-04-17 01:09:52,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,1074110826343811,Tango Argentino Greece,https://www.facebook.com/groups/1074110826343811/,0,0,0,,,2026-04-17 01:11:19,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangogr,TANGO IN GREECE,https://www.facebook.com/groups/tangogr/,0,0,0,,,2026-04-17 01:12:44,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangotoistanbul,tanGO TO istanbul,https://www.facebook.com/groups/tangotoistanbul/,0,0,0,,,2026-04-17 01:14:26,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,278268625860133,CARTELERA DEL TANGO DE URUGUAY,https://www.facebook.com/groups/278268625860133/,0,0,0,,,2026-04-17 01:16:50,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangomontevideo,Tango en Montevideo,https://www.facebook.com/groups/tangomontevideo/,0,0,0,,,2026-04-17 01:17:37,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,245796619344376,Milongas en Montevideo / Uruguay,https://www.facebook.com/groups/245796619344376/,0,0,0,,,2026-04-17 01:18:27,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangoenChile,Tango en Chile,https://www.facebook.com/groups/tangoenChile/,0,0,0,,,2026-04-17 01:19:12,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,185481568168783,Tango en Santiago de Chile,https://www.facebook.com/groups/185481568168783/,0,0,0,,,2026-04-17 01:19:57,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,1383637665220701,La RUTA del TANGO,https://www.facebook.com/groups/1383637665220701/,0,0,0,,,2026-04-17 01:20:51,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,IBTANGO,TANGO BAILES RIO DE JANEIRO,https://www.facebook.com/groups/IBTANGO/,0,0,0,,,2026-04-17 01:21:36,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangoenperu,Tango en Lima Perú,https://www.facebook.com/groups/tangoenperu/,0,0,0,,,2026-04-17 01:22:23,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,263642447176521,MIS AMIGOS DEL TANGO EN LIMA PERU,https://www.facebook.com/groups/263642447176521/,0,0,0,,,2026-04-17 01:23:14,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,166823696705869,Festival Internacional Perú Tango,https://www.facebook.com/groups/166823696705869/,0,0,0,,,2026-04-17 01:23:57,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,544697026104820,la casa del Tango en Bogotá,https://www.facebook.com/groups/544697026104820/,0,0,0,,,2026-04-17 01:24:42,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,146573493580854,Colombia Tango Queer,https://www.facebook.com/groups/146573493580854/,0,0,0,,,2026-04-17 01:25:27,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,281946035237957,Tango tanzen und lernen in und um Stuttgart,https://www.facebook.com/groups/281946035237957/,0,0,0,,,2026-04-17 02:20:04,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,TANGOOCHO,TANGO OCHO STUTTGART,https://www.facebook.com/groups/TANGOOCHO/,0,0,0,,,2026-04-17 02:21:01,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,tangodraussen,tango draussen - Stuttgart,https://www.facebook.com/groups/tangodraussen/,0,0,0,,,2026-04-17 02:21:46,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,665492613612181,Salida Tango Stuttgart,https://www.facebook.com/groups/665492613612181/,0,0,0,,,2026-04-17 02:22:39,0,unknown,normal,scraped but 0 events produced ever
NO,-33.30,1754072954899159,Sarasota Tango Community,https://www.facebook.com/groups/1754072954899159/,0,0,0,,,2026-04-17 02:44:59,0,unknown,normal,scraped but 0 events produced ever
NO,-35.30,329010210960182,阿根廷探戈在台灣 Argentine tango in Taiwan,https://www.facebook.com/groups/329010210960182/,0,0,0,,,2026-04-16 23:03:35,1,medium,high,scraped but 0 events produced ever
NO,-35.30,343777704846643,Chattanooga Tango,https://www.facebook.com/groups/343777704846643/,0,0,0,,,2026-04-16 23:10:28,1,medium,high,scraped but 0 events produced ever
NO,-35.30,835858866809797,Tango Housing/Hosting,https://www.facebook.com/groups/835858866809797/,0,0,0,,,2026-04-16 23:11:46,1,low,dormant,scraped but 0 events produced ever
NO,-35.30,1214075590163711,FB Group 1214075590163711,https://www.facebook.com/groups/1214075590163711/,0,0,0,,,2026-04-16 23:12:28,1,medium,dormant,scraped but 0 events produced ever
NO,-35.30,2487840574947604,FB Group 2487840574947604,https://www.facebook.com/groups/2487840574947604/,0,0,0,,,2026-04-16 23:13:08,1,low,dormant,scraped but 0 events produced ever
NO,-35.30,TangoinPoland,Tango in Poland,https://www.facebook.com/groups/TangoinPoland/,0,0,0,,,2026-04-16 23:14:16,1,low,dormant,scraped but 0 events produced ever
NO,-35.30,275166282588468,FB Group 275166282588468,https://www.facebook.com/groups/275166282588468/,0,0,0,,,2026-04-16 23:20:13,1,unknown,dormant,scraped but 0 events produced ever
NO,-35.30,811530215594629,FB Group 811530215594629,https://www.facebook.com/groups/811530215594629/,0,0,0,,,2026-04-16 23:21:41,1,unknown,dormant,scraped but 0 events produced ever
NO,-35.30,636059826419536,TANGOSPHAERE/Argentine Tango In Berlin,https://www.facebook.com/groups/636059826419536/,0,0,0,,,2026-04-16 23:23:51,1,unknown,dormant,scraped but 0 events produced ever
NO,-35.30,milonga.villakreuzberg,milonga.villakreuzberg,https://www.facebook.com/groups/milonga.villakreuzberg/,0,0,0,,,2026-04-16 23:26:58,1,unknown,dormant,scraped but 0 events produced ever
NO,-35.30,LaVidaTango,Argentine Tango on Eastside Seattle,https://www.facebook.com/groups/LaVidaTango/,0,0,0,,,2026-04-16 23:52:20,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,floridatangocommunity,Miami | Florida Tango Community,https://www.facebook.com/groups/floridatangocommunity/,0,0,0,,,2026-04-16 22:40:32,1,active,high,scraped but 0 events produced ever
NO,-35.30,47769243908,Capital Tangueros,https://www.facebook.com/groups/47769243908/,0,0,0,,,2026-04-16 21:51:52,1,high,high,scraped but 0 events produced ever
NO,-35.30,1929796427313873,DC Queer Tango Collective,https://www.facebook.com/groups/1929796427313873,0,0,0,,,2026-04-16 23:59:50,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,tango.in.orange,Texas Argentine Tango -UT Austin,https://www.facebook.com/groups/tango.in.orange/,0,0,0,,,2026-04-16 23:57:47,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,247366451555906,Where to dance Tango in Paris Tonight?,https://www.facebook.com/groups/247366451555906/,0,0,0,,,2026-04-16 23:38:36,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,tangoloungeba,"Dancers, Expats, Travellers, & Tourists in Buenos Aires",https://www.facebook.com/groups/tangoloungeba/,0,0,0,,,2026-04-16 23:30:14,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,montrealtango,Montréal Tango,https://www.facebook.com/groups/montrealtango/,0,0,0,,,2026-04-17 01:43:52,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,1086602248041186,La Yumba Milonga - Amsterdam,https://www.facebook.com/groups/1086602248041186/,0,0,0,,,2026-04-17 00:23:36,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,1389373581296479,Tango Argentino danced in Amsterdam,https://www.facebook.com/groups/1389373581296479/,0,0,0,,,2026-04-17 00:22:59,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,milongasbarcelona,Milongas en Barcelona,https://www.facebook.com/groups/milongasbarcelona/,0,0,0,,,2026-04-17 00:12:14,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,barcelonatangomarathon,Barcelona Tango Marathon,https://www.facebook.com/groups/barcelonatangomarathon/,0,0,0,,,2026-04-17 00:11:49,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,seoultangofestival,"2026 Seoul Tango Festival, April 30-May 4",https://www.facebook.com/groups/seoultangofestival/,0,0,0,,,2026-04-16 23:01:01,1,medium,high,scraped but 0 events produced ever
NO,-35.30,milongueronightsmoscow,Milonguero Nights Tango Festival in Moscow,https://www.facebook.com/groups/milongueronightsmoscow/,0,0,0,,,2026-04-17 01:52:52,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,165913640209469,Planetango Moscow Tango Festival,https://www.facebook.com/groups/165913640209469/,0,0,0,,,2026-04-17 01:52:07,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,tangoinVienna,Tango-Vienna - Wien,https://www.facebook.com/groups/tangoinVienna/,0,0,0,,,2026-04-17 00:25:28,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,viennacallingtangomarathon,Vienna Calling Tango Marathon,https://www.facebook.com/groups/viennacallingtangomarathon/,0,0,0,,,2026-04-17 00:31:04,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,333330753744938,Tango y Milongas en Italia,https://www.facebook.com/groups/333330753744938/,0,0,0,,,2026-04-17 00:20:30,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,13416565187,Prague Tango Society,https://www.facebook.com/groups/13416565187/,0,0,0,,,2026-04-17 00:39:40,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,444389532276997,Prague Tango Marathon,https://www.facebook.com/groups/444389532276997/,0,0,0,,,2026-04-17 00:40:05,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,133822497286643,Israel Tango,https://www.facebook.com/groups/133822497286643/,0,0,0,,,2026-04-17 01:49:05,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,16981152308,Argentine Tango in Israel,https://www.facebook.com/groups/16981152308/,0,0,0,,,2026-04-17 01:47:45,1,medium,high,scraped but 0 events produced ever
NO,-35.30,1070959857605810,Tango milongas and workshops in Warsaw,https://www.facebook.com/groups/1070959857605810/,0,0,0,,,2026-04-17 00:52:59,1,unknown,high,scraped but 0 events produced ever
NO,-35.30,551652912825787,Warsaw Tango Wave,https://www.facebook.com/groups/551652912825787/,0,0,0,,,2026-04-17 00:52:19,1,unknown,high,scraped but 0 events produced ever
